,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
348,2020/06/24,279000,3000,1.09,273500,279500,270500,995065,274364135500,45829487205000,164263395
347,2020/06/25,269500,-9500,-3.41,273500,276500,269500,1196267,325381436500,44268984952500,164263395
346,2020/06/26,269000,-500,-0.19,274500,275000,263000,937593,252348629500,44186853255000,164263395
345,2020/06/29,264000,-5000,-1.86,265000,270500,261000,814814,216894244500,43365536280000,164263395
344,2020/06/30,267000,3000,1.14,268000,270500,263000,862860,230249229500,43858326465000,164263395
343,2020/07/01,269000,2000,0.75,270000,275000,266000,655711,177471989500,44186853255000,164263395
342,2020/07/02,277000,8000,2.97,274000,277000,271000,1015829,278931268000,45500960415000,164263395
341,2020/07/03,277500,500,0.18,276500,280500,274500,971940,270001585250,45583092112500,164263395
340,2020/07/06,281500,4000,1.44,278000,287500,278000,1211636,343377555500,46240145692500,164263395
339,2020/07/07,279500,-2000,-0.71,285000,289500,279000,1365047,387292509500,45911618902500,164263395
338,2020/07/08,282500,3000,1.07,280000,284500,274000,1353345,379185499050,46404409087500,164263395
337,2020/07/09,287500,5000,1.77,286500,296500,284500,2006662,580638013000,47225726062500,164263395
336,2020/07/10,299000,11500,4.0,291500,308500,290000,2120904,636152069000,49114755105000,164263395
335,2020/07/13,297000,-2000,-0.67,303500,303500,288000,1254800,371275963500,48786228315000,164263395
334,2020/07/14,287000,-10000,-3.37,290000,291000,285000,1360849,391150174500,47143594365000,164263395
333,2020/07/15,286500,-500,-0.17,290500,293000,280500,1276196,365508952000,47061462667500,164263395
332,2020/07/16,273000,-13500,-4.71,283000,285000,272000,1338814,370524116500,44843906835000,164263395
331,2020/07/17,276000,3000,1.1,270000,279500,266000,926932,255308206000,45336697020000,164263395
330,2020/07/20,263000,-13000,-4.71,276500,278000,260500,1556415,412991664000,43201272885000,164263395
329,2020/07/21,270000,7000,2.66,273000,273500,269000,1179638,319522573500,44351116650000,164263395
328,2020/07/22,270000,0,0.0,264000,272500,261500,905784,242469605000,44351116650000,164263395
327,2020/07/23,284000,14000,5.19,272000,284000,271000,1396607,392799798000,46650804180000,164263395
326,2020/07/24,281000,-3000,-1.06,281000,290500,278500,1233584,349350239000,46158013995000,164263395
