일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/11/04","26250","1650","6.71","25250","27550","25100","50024043","1325684806150","13538215742400","518705584"
"2021/11/03","24600","-500","-1.99","25800","25900","24250","11955366","298547501600","12760157366400","518705584"
"2021/11/02","25100","1050","4.37","24150","25150","23900","10192672","251361288950","13019510158400","518705584"
"2021/11/01","24050","-350","-1.43","25000","25450","23650","11559754","284033515950","12474869295200","518705584"
"2021/10/29","24400","200","0.83","24500","25000","24100","9490424","232572485250","12656416249600","518705584"
"2021/10/28","24200","-1500","-5.84","25350","26300","23950","20971502","525928516400","12552675132800","518705584"
"2021/10/27","25700","-400","-1.53","25800","26350","25250","13218675","340757448700","13330733508800","518705584"
"2021/10/26","26100","350","1.36","25450","26350","25050","23624601","608690605700","13538215742400","518705584"
"2021/10/25","25750","3150","13.94","23400","25900","23300","45115134","1125693514600","13356668788000","518705584"
"2021/10/22","22600","-500","-2.16","23250","23500","22550","11669246","268615563100","11722746198400","518705584"
"2021/10/21","23100","1300","5.96","22050","23350","21900","15021575","339626188300","11982098990400","518705584"
"2021/10/20","21800","-1200","-5.22","23200","23250","21800","10961988","244007677150","11307781731200","518705584"
"2021/10/19","23000","-100","-0.43","23000","23550","22650","9022295","207101064100","11930189677000","518703899"
"2021/10/18","23100","-350","-1.49","23950","24150","22800","13269028","311529943000","11982060066900","518703899"
"2021/10/15","23450","1000","4.45","22650","24150","22500","25864817","606076602600","12163606431550","518703899"
"2021/10/14","22450","700","3.22","22300","23050","21500","22222278","496586417100","11644902532550","518703899"
"2021/10/13","21750","2800","14.78","19250","22050","19050","21043820","442045597800","11281809803250","518703899"
"2021/10/12","18950","-150","-0.79","19000","19500","18750","2780973","52883277000","9829438886050","518703899"
"2021/10/08","19100","100","0.53","19200","19450","18900","2904470","55703292050","9907244470900","518703899"
"2021/10/07","19000","850","4.68","18250","19100","18250","3825082","71507212650","9855374081000","518703899"
"2021/10/06","18150","-1350","-6.92","19700","19850","18050","8006011","149598600450","9414475766850","518703899"
"2021/10/05","19500","-200","-1.02","19350","20050","19250","4218010","82533569800","10114726030500","518703899"
"2021/10/01","19700","-850","-4.14","20350","20450","19600","5347469","106791296750","10176475787500","516572375"
"2021/09/30","20550","100","0.49","20400","21100","20300","3692901","76530911300","10615562306250","516572375"
"2021/09/29","20450","-550","-2.62","20600","20750","20200","4289388","87553660500","10563905068750","516572375"
"2021/09/28","21000","350","1.69","20800","21100","20650","3636884","75877384350","10848019875000","516572375"
"2021/09/27","20650","100","0.49","20300","20950","20300","2819616","58311528750","10667219543750","516572375"
"2021/09/24","20550","-550","-2.61","21250","21300","20500","4238194","87775820100","10615562306250","516572375"
"2021/09/23","21100","-550","-2.54","21200","21700","21000","3912892","83071291750","10899677112500","516572375"
"2021/09/17","21650","-200","-0.92","22100","22400","21500","8208158","179909601700","11171535832100","516006274"
"2021/09/16","21850","800","3.80","21350","22150","21150","7565043","164180890700","11274737086900","516006274"
"2021/09/15","21050","50","0.24","21050","21700","20950","4251447","90551966900","10861932067700","516006274"
"2021/09/14","21000","700","3.45","20400","21300","20400","3757880","78525568050","10836131754000","516006274"
"2021/09/13","20300","-100","-0.49","20300","20600","20000","3294114","66649150400","10474927362200","516006274"
"2021/09/10","20400","-500","-2.39","20850","21050","20250","3469590","71175994750","10526527989600","516006274"
"2021/09/09","20900","-250","-1.18","21050","21250","20650","4119523","86211275650","10784531126600","516006274"
"2021/09/08","21150","-750","-3.42","21600","21650","21100","4802830","102361973350","10913532695100","516006274"
"2021/09/07","21900","50","0.23","21850","22500","21750","7529699","166373193900","11300537400600","516006274"
"2021/09/06","21850","100","0.46","21850","22050","21500","3397053","72820347450","11274737086900","516006274"
"2021/09/03","21750","450","2.11","22150","22550","21450","8654338","189705089350","11176651228500","513869022"
"2021/09/02","21300","-600","-2.74","22200","22450","21300","7925997","172433616150","10945410168600","513869022"
"2021/09/01","21900","1000","4.78","20900","22750","20650","16710922","366807797150","11253731581800","513869022"
"2021/08/31","20900","500","2.45","20400","20900","20100","4228787","86646733900","10739862559800","513869022"
"2021/08/30","20400","-50","-0.24","20750","20850","20350","2821185","57989991200","10482928048800","513869022"
"2021/08/27","20450","350","1.74","19800","20600","19650","3634106","73810325700","10508621499900","513869022"
"2021/08/26","20100","-750","-3.60","21000","21050","19900","5131881","104049063900","10328767342200","513869022"
"2021/08/25","20850","100","0.48","20800","21150","20550","4132649","86214147350","10714169108700","513869022"
"2021/08/24","20750","950","4.80","20150","21000","20000","5868323","120705626150","10662782206500","513869022"
"2021/08/23","19800","300","1.54","19650","20100","18800","5982070","117606976200","10174606635600","513869022"
"2021/08/20","19500","0","0.00","19550","20100","19350","6913642","135958393750","10020445929000","513869022"
"2021/08/19","19500","-1400","-6.70","20700","20750","19500","8919698","177503113350","9992120209500","512416421"
"2021/08/18","20900","250","1.21","20400","21150","20150","5178993","107616015800","10709503198900","512416421"
"2021/08/17","20650","-150","-0.72","21100","21200","20500","4675178","97222530600","10581399093650","512416421"
"2021/08/13","20800","-900","-4.15","21800","21850","20500","6231124","130456191100","10658261556800","512416421"
"2021/08/12","21700","350","1.64","21450","22250","21400","7949013","173384768100","11119436335700","512416421"
"2021/08/11","21350","-150","-0.70","21300","21850","21250","3164590","67993416550","10940090588350","512416421"
"2021/08/10","21500","50","0.23","21450","21750","21050","4820501","102923712600","11016953051500","512416421"
"2021/08/09","21450","-950","-4.24","22400","22400","21400","5408738","117220096650","10991332230450","512416421"
"2021/08/06","22400","750","3.46","21550","22500","21450","6664341","147323405900","11478127830400","512416421"
"2021/08/05","21650","0","0.00","21850","22150","21250","5088359","110261158900","11093815514650","512416421"
"2021/08/04","21650","950","4.59","20800","21700","20400","7960032","169153268600","11073750251350","511489619"
"2021/08/03","20700","-1100","-5.05","21850","21850","20500","9201057","192441487100","10587835113300","511489619"
"2021/08/02","21800","50","0.23","21700","22150","21300","4528795","98655207600","11150473694200","511489619"
"2021/07/30","21750","-800","-3.55","22400","22500","21550","9395196","206672089100","11124899213250","511489619"
"2021/07/29","22550","0","0.00","23000","23050","22400","3600769","81621698200","11534090908450","511489619"
"2021/07/28","22550","-400","-1.74","22850","23100","22300","5029262","113941646650","11534090908450","511489619"
"2021/07/27","22950","150","0.66","22900","23450","22700","5086433","117621626700","11738686756050","511489619"
"2021/07/26","22800","-600","-2.56","23500","23650","22600","6706140","153795802400","11661963313200","511489619"
"2021/07/23","23400","-100","-0.43","23400","23750","23000","5992650","140323050850","11968857084600","511489619"
"2021/07/22","23500","-900","-3.69","24450","24550","23400","10673373","252310634650","12020006046500","511489619"
"2021/07/21","24400","-700","-2.79","24250","25000","23600","23143319","559746319150","12480346703600","511489619"
"2021/07/20","25100","300","1.21","24500","25450","24400","8034764","201461696650","10745063568200","428090182"
"2021/07/19","24800","-300","-1.20","24600","25250","24100","4477148","110599915800","10606358972000","427675765"
"2021/07/16","25100","-950","-3.65","26100","26150","25000","7620725","192911944600","10734661701500","427675765"
"2021/07/15","26050","150","0.58","26050","26650","25750","8323605","218791927050","11140953678250","427675765"
"2021/07/14","25900","400","1.57","25650","26100","25350","5035512","129966733850","11076802313500","427675765"
