일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/11/03","210000","3500","1.69","207000","211000","204000","405132","84376882500","28966290360000","137934716"
"2021/11/02","206500","1000","0.49","206000","212000","204500","812378","168730789500","28483518854000","137934716"
"2021/11/01","205500","5000","2.49","200500","208500","196000","862490","175953541000","28345584138000","137934716"
"2021/10/29","200500","-15000","-6.96","217000","217000","200000","1500726","307412723000","27655910558000","137934716"
"2021/10/28","215500","-3500","-1.60","220000","220500","215500","382286","83048743500","29724931298000","137934716"
"2021/10/27","219000","-3500","-1.57","222500","222500","218500","266457","58566186500","30207702804000","137934716"
"2021/10/26","222500","6000","2.77","218000","225000","217500","543088","120718928000","30690474310000","137934716"
"2021/10/25","216500","-3000","-1.37","219500","220000","215000","336539","72898646000","29862866014000","137934716"
"2021/10/22","219500","2000","0.92","217000","220500","214500","293238","63844560500","30276670162000","137934716"
"2021/10/21","217500","-1500","-0.68","220000","221000","217500","340552","74524868500","30000800730000","137934716"
"2021/10/20","219000","1000","0.46","219500","225500","218500","522976","115656151500","30207702804000","137934716"
"2021/10/19","218000","1500","0.69","217000","218500","213500","482568","104335219500","30069768088000","137934716"
"2021/10/18","216500","-3500","-1.59","221000","221000","215000","412924","89511656500","29862866014000","137934716"
"2021/10/15","220000","-2000","-0.90","224000","225000","219000","427388","94299791500","30345637520000","137934716"
"2021/10/14","222000","6500","3.02","217000","223000","215500","563771","124248129500","30621506952000","137934716"
"2021/10/13","215500","1000","0.47","211500","218000","211500","460999","99320428000","29724931298000","137934716"
"2021/10/12","214500","-9500","-4.24","222500","223000","213000","778783","168140011500","29586996582000","137934716"
"2021/10/08","224000","11000","5.16","215500","225000","215500","992187","219523299500","30897376384000","137934716"
"2021/10/07","213000","1000","0.47","215000","219500","211500","1072554","230384062000","29380094508000","137934716"
"2021/10/06","212000","-6000","-2.75","218500","227500","212000","1834318","398623811500","29242159792000","137934716"
"2021/10/05","218000","-30000","-12.10","240000","240500","216000","2415460","548012086000","30069768088000","137934716"
"2021/10/01","248000","-11500","-4.43","258000","258500","247500","1020405","256343809000","34207809568000","137934716"
"2021/09/30","259500","-1500","-0.57","260000","263000","259000","461399","120072560500","35794058802000","137934716"
"2021/09/29","261000","-2500","-0.95","259500","265000","259500","471947","122656568500","36000960876000","137934716"
"2021/09/28","263500","-4000","-1.50","265000","269500","263000","515609","136506686000","36345797666000","137934716"
"2021/09/27","267500","-7000","-2.55","272000","272500","267000","512408","137899890000","36897536530000","137934716"
"2021/09/24","274500","-10000","-3.51","285000","285500","274000","633897","175827440000","37863079542000","137934716"
"2021/09/23","284500","9000","3.27","287000","291000","282500","1233089","353637240000","39242426702000","137934716"
"2021/09/17","275500","8500","3.18","271000","276000","270000","669719","184590911000","38001014258000","137934716"
"2021/09/16","267000","-5500","-2.02","276000","276000","266500","354210","95225584000","36828569172000","137934716"
"2021/09/15","272500","9500","3.61","266000","275500","265500","576273","156948214500","37587210110000","137934716"
"2021/09/14","263000","1000","0.38","261500","265000","260500","416684","109557899500","36276830308000","137934716"
"2021/09/13","262000","-5500","-2.06","266500","267000","260500","505510","132709261000","36138895592000","137934716"
"2021/09/10","267500","-1500","-0.56","269500","271000","265500","394088","105746768000","36897536530000","137934716"
"2021/09/09","269000","-4500","-1.65","272000","275500","267000","595228","160592158000","37104438604000","137934716"
"2021/09/08","273500","-6000","-2.15","278000","280000","273000","465631","127829552500","37725144826000","137934716"
"2021/09/07","279500","1000","0.36","279000","282000","276000","345474","96190481500","38552753122000","137934716"
"2021/09/06","278500","-4500","-1.59","282500","285000","276500","416665","116492786500","38414818406000","137934716"
"2021/09/03","283000","-5000","-1.74","289000","290500","283000","440445","125805620500","39035524628000","137934716"
"2021/09/02","288000","-2500","-0.86","288500","292500","286500","422212","121909049000","39725198208000","137934716"
"2021/09/01","290500","-2500","-0.85","293000","295500","289000","421041","122634473000","40070034998000","137934716"
"2021/08/31","293000","2000","0.69","292500","294000","288000","609839","177803221000","40414871788000","137934716"
"2021/08/30","291000","-3500","-1.19","297500","300500","290500","777724","229142704500","40139002356000","137934716"
"2021/08/27","294500","10000","3.51","285000","297000","282500","1202846","351934308500","40621773862000","137934716"
"2021/08/26","284500","2500","0.89","282000","289000","280500","605135","172731990500","39242426702000","137934716"
"2021/08/25","282000","-500","-0.18","282500","282500","276000","449508","125342926000","38897589912000","137934716"
"2021/08/24","282500","-1500","-0.53","288000","288500","279500","701570","198979297500","38966557270000","137934716"
"2021/08/23","284000","18000","6.77","269000","286500","269000","1355766","382026946500","39173459344000","137934716"
"2021/08/20","266000","-5000","-1.85","273500","276500","265000","647705","175015687000","36690634456000","137934716"
"2021/08/19","271000","-3000","-1.09","271500","279500","270000","500781","137259380000","37380308036000","137934716"
"2021/08/18","274000","0","0.00","275000","277000","270000","420737","115373338000","37794112184000","137934716"
"2021/08/17","274000","-1500","-0.54","274000","283000","271000","785917","217639810000","37789130316000","137916534"
"2021/08/13","275500","-6000","-2.13","284000","286500","274500","805209","224559994500","37996005117000","137916534"
"2021/08/12","281500","-1500","-0.53","288500","291000","280000","1067756","303389495500","38823504321000","137916534"
"2021/08/11","283000","13000","4.81","272000","286000","270500","1870984","527107313000","39030379122000","137916534"
"2021/08/10","270000","4000","1.50","266500","272000","266000","459924","124081882000","37237464180000","137916534"
"2021/08/09","266000","-5500","-2.03","270500","271000","264500","351775","93790912000","36685798044000","137916534"
"2021/08/06","271500","2500","0.93","271000","273000","267500","332369","89980897500","37444338981000","137916534"
"2021/08/05","269000","-500","-0.19","270000","275000","268500","411854","111738730500","37099547646000","137916534"
"2021/08/04","269500","4500","1.70","265000","272500","264500","497787","134063740000","37168505913000","137916534"
"2021/08/03","265000","1500","0.57","263500","265000","260500","279936","73563181500","36547881510000","137916534"
"2021/08/02","263500","10000","3.94","255500","264000","255500","459181","119583421500","36341006709000","137916534"
"2021/07/30","253500","-8000","-3.06","261500","262000","253500","627804","160841135500","34961841369000","137916534"
"2021/07/29","261500","0","0.00","261500","263500","261000","234784","61537345500","36065173641000","137916534"
"2021/07/28","261500","-2000","-0.76","263500","265000","260500","333216","87350087000","36065173641000","137916534"
"2021/07/27","263500","-500","-0.19","266500","269000","262500","293542","77870364000","36341006709000","137916534"
"2021/07/26","264000","-4500","-1.68","269000","270000","264000","331215","88105925000","36409964976000","137916534"
"2021/07/23","268500","-1000","-0.37","269000","271500","268000","247979","66867004500","37030589379000","137916534"
"2021/07/22","269500","2000","0.75","269500","270000","266500","299521","80382898500","37168505913000","137916534"
"2021/07/21","267500","-5500","-2.01","276000","276000","267500","525377","142333220000","36892672845000","137916534"
"2021/07/20","273000","10000","3.80","266500","275500","266000","1113782","303645147500","37651213782000","137916534"
"2021/07/19","263000","-6000","-2.23","271500","272000","263000","463187","123665342000","36272048442000","137916534"
"2021/07/16","269000","2500","0.94","264500","272000","262500","578040","154734972000","37099547646000","137916534"
"2021/07/15","266500","5500","2.11","262000","270000","261500","458007","121505679500","36754756311000","137916534"
"2021/07/14","261000","-2000","-0.76","263000","264000","260000","364977","95272810500","35996215374000","137916534"
"2021/07/13","263000","500","0.19","265500","267500","262500","342811","90681501500","36272048442000","137916534"
"2021/07/12","262500","500","0.19","265500","267500","262500","301660","79744159500","36203090175000","137916534"
"2021/07/09","262000","-4000","-1.50","264000","265500","258000","663968","173392802500","36134131908000","137916534"
"2021/07/08","266000","-500","-0.19","268000","269500","266000","448215","119629105500","36685798044000","137916534"
"2021/07/07","266500","-500","-0.19","267500","269000","266000","309659","82744668500","36754756311000","137916534"
"2021/07/06","267000","-6000","-2.20","272000","272500","267000","516632","138525506500","36823714578000","137916534"
"2021/07/05","273000","7000","2.63","267000","277000","267000","593492","161787360500","37651213782000","137916534"
"2021/07/02","266000","-1500","-0.56","267500","267500","264500","352786","93802199000","36685798044000","137916534"
"2021/07/01","267500","-1000","-0.37","270000","270000","264500","470679","125668496000","36892672845000","137916534"
"2021/06/30","268500","3500","1.32","265500","271000","264500","389803","104431935000","37030589379000","137916534"
"2021/06/29","265000","-1000","-0.38","266000","268000","263500","341620","90826084000","36547881510000","137916534"
"2021/06/28","266000","500","0.19","268500","271000","265500","517932","138571984000","36685798044000","137916534"
"2021/06/25","265500","-13000","-4.67","279500","281000","261000","1113863","301995874000","36616839777000","137916534"
"2021/06/24","278500","-3000","-1.07","283000","284500","275500","550836","153661038000","38409754719000","137916534"
"2021/06/23","281500","7500","2.74","275000","284000","274000","955076","269133516000","38823504321000","137916534"
"2021/06/22","274000","-6500","-2.32","280000","280500","273500","534404","147106882500","37789130316000","137916534"
"2021/06/21","280500","10500","3.89","270000","281500","268500","1005972","278813729000","38685587787000","137916534"
"2021/06/18","270000","1000","0.37","269000","272000","269000","476193","128765235000","37237464180000","137916534"
