,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
203,2019/12/05,27550,-400,-1.43,28600,28750,27450,291747,8195680950,722747251000,26234020
202,2019/12/06,27650,100,0.36,27800,28150,27500,107092,2973481600,725370653000,26234020
201,2019/12/09,27650,0,0.0,27700,28100,27250,147146,4072994250,725370653000,26234020
200,2019/12/10,27300,-350,-1.27,27600,28000,27300,152927,4217235600,716188746000,26234020
199,2019/12/11,27400,100,0.37,27350,28500,27250,383815,10673117350,718812148000,26234020
198,2019/12/12,27200,-200,-0.73,27500,27650,26400,305678,8247215650,713565344000,26234020
197,2019/12/13,27650,450,1.65,27250,28200,27200,280188,7750842850,725370653000,26234020
196,2019/12/16,27850,200,0.72,27950,28100,27100,276836,7629999550,730617457000,26234020
195,2019/12/17,28400,550,1.97,28000,28400,27550,210271,5912413050,745046168000,26234020
194,2019/12/18,28100,-300,-1.06,28600,28750,27900,128816,3633608850,737175962000,26234020
193,2019/12/19,29500,1400,4.98,27950,29850,27950,651863,19054320100,773903590000,26234020
192,2019/12/20,29450,-50,-0.17,29550,29700,28800,202815,5906881200,772591889000,26234020
191,2019/12/23,29700,250,0.85,29200,30250,28800,343030,10124625950,779150394000,26234020
190,2019/12/24,30300,600,2.02,29700,30600,29450,343421,10365594650,794890806000,26234020
189,2019/12/26,30300,0,0.0,30550,30600,29650,214373,6439063400,794890806000,26234020
188,2019/12/27,30650,350,1.16,30300,30800,29900,175325,5330649050,804072713000,26234020
187,2019/12/30,30650,0,0.0,30600,31250,30450,156484,4813196700,804072713000,26234020
186,2020/01/02,30950,300,0.98,30650,31150,30150,152379,4673316200,811942919000,26234020
185,2020/01/03,31500,550,1.78,31100,31750,30950,272230,8539991950,826371630000,26234020
184,2020/01/06,30200,-1300,-4.13,31100,31700,30200,284165,8787984750,792267404000,26234020
183,2020/01/07,32400,2200,7.28,30300,32700,30250,573484,18396160200,849982248000,26234020
182,2020/01/08,30900,-1500,-4.63,32000,32300,30650,467623,14576608250,810631218000,26234020
181,2020/01/09,32700,1800,5.83,31900,32800,31600,332149,10768817250,857852454000,26234020
180,2020/01/10,33550,850,2.6,33000,33750,32750,302511,10094116900,880151371000,26234020
179,2020/01/13,34950,1400,4.17,33950,34950,33550,390042,13463782950,916878999000,26234020
178,2020/01/14,31950,-3000,-8.58,34750,34750,31700,608267,19972580000,838176939000,26234020
177,2020/01/15,32000,50,0.16,32000,32500,31650,281413,9010681500,839488640000,26234020
176,2020/01/16,32300,300,0.94,32000,33050,32000,276622,8975349000,847358846000,26234020
175,2020/01/17,31050,-1250,-3.87,32200,32600,30550,462090,14394659000,814566321000,26234020
174,2020/01/20,31400,350,1.13,31400,32000,31150,292142,9217928850,823748228000,26234020
173,2020/01/21,31450,50,0.16,31400,32100,31350,215785,6820026750,825059929000,26234020
172,2020/01/22,33200,1750,5.56,31750,33300,31650,385406,12541770400,870969464000,26234020
171,2020/01/23,32750,-450,-1.36,33500,33550,32400,305124,9994908850,859164155000,26234020
170,2020/01/28,33700,950,2.9,31750,39800,31700,3370916,119873211400,884086474000,26234020
169,2020/01/29,32550,-1150,-3.41,34150,34300,32300,715174,23677229700,853917351000,26234020
168,2020/01/30,32450,-100,-0.31,34300,34400,32050,1170589,38776308500,851293949000,26234020
167,2020/01/31,30100,-2350,-7.24,32050,32700,29700,714953,22205476700,789644002000,26234020
166,2020/02/03,30100,0,0.0,29200,30700,29100,419954,12613511450,789644002000,26234020
165,2020/02/04,31650,1550,5.15,30150,31750,30150,354215,11035807300,830306733000,26234020
164,2020/02/05,31550,-100,-0.32,32050,32250,31200,331489,10503319200,827683331000,26234020
