,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
10,2021/11/05,215000,1000,0.47,216500,217000,214000,686779,147781543500,45938660205000,213668187
9,2021/11/08,215000,0,0.0,214500,216500,212500,532328,114165998000,45938660205000,213668187
8,2021/11/09,213000,-2000,-0.93,216000,217000,212000,620316,132466916500,45511323831000,213668187
7,2021/11/10,208500,-4500,-2.11,211000,211500,206500,680033,141704830000,44549816989500,213668187
6,2021/11/11,205000,-3500,-1.68,205500,206500,203500,710080,145402923000,43801978335000,213668187
5,2021/11/12,208000,3000,1.46,205000,209500,205000,415172,86372910000,44442982896000,213668187
4,2021/11/15,209000,1000,0.48,208000,210000,207000,377424,78785442500,44656651083000,213668187
3,2021/11/16,206500,-2500,-1.2,208000,208000,205000,515194,106237104500,44122480615500,213668187
2,2021/11/17,207000,500,0.24,206500,209000,203000,715192,147041821000,44229314709000,213668187
1,2021/11/18,205000,-2000,-0.97,205500,206500,204000,562783,115703230000,43801978335000,213668187
0,2021/11/19,209500,4500,2.2,211500,212500,208000,829314,174108389500,44763485176500,213668187
