,level_0,index,Unnamed: 0,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수,sumPos,sumNeg
0,0,0,223,2020/06/24,86000,1900,2.26,84200,87400,84000,4079834,351579333300,62608203390000,728002365,13.297153228180003,15.66900900622
1,1,1,222,2020/06/25,84300,-1700,-1.98,84300,85600,84000,3397112,287640892200,61370599369500,728002365,34.523930575916665,36.89938196389999
2,3,3,220,2020/06/29,83600,-1000,-1.18,84000,85300,83500,2932433,246769859800,60860997714000,728002365,27.716534737200014,29.585386157899997
3,4,4,219,2020/06/30,85100,1500,1.79,86200,87300,85000,4983607,430210457400,61953001261500,728002365,34.89002723115001,30.797497241925004
4,5,5,218,2020/07/01,85300,200,0.24,86800,87300,84900,2382552,204996625700,62098601734500,728002365,27.723506123199996,28.401031466333322
5,6,6,217,2020/07/02,84400,-900,-1.06,84800,85200,84000,3295340,278230270900,61443399606000,728002365,20.95255501825,23.0179266104
6,7,7,216,2020/07/03,85400,1000,1.18,85000,85600,84500,2195897,186505562700,62171401971000,728002365,29.100144598599993,31.034118212066662
7,8,8,215,2020/07/06,86000,600,0.7,86000,87000,85800,2561766,221380002600,62608203390000,728002365,29.070473456025,32.732914143200006
8,9,9,214,2020/07/07,84800,-1200,-1.4,87300,87300,84600,3196352,273456680600,61734600552000,728002365,19.995566219300002,22.193952747274995
9,10,10,213,2020/07/08,83700,-1100,-1.3,83800,84900,83600,3523620,295860393700,60933797950500,728002365,15.86850202465,15.777039607449996
10,11,11,212,2020/07/09,83000,-700,-0.84,84200,84600,83000,4002365,333613553000,60424196295000,728002365,28.48069700324167,33.469283512825
11,12,12,211,2020/07/10,82800,-200,-0.24,83300,83500,82400,2201557,182243451800,60278595822000,728002365,26.645082364775003,31.585580104374998
12,13,13,210,2020/07/13,83000,200,0.24,83100,83500,82500,2080934,172499797800,60424196295000,728002365,33.60042395183334,38.38851594343331
13,15,15,208,2020/07/15,83000,100,0.12,83100,83900,82900,3024429,251923987700,60424196295000,728002365,29.735108251950003,30.980695601475
14,16,16,207,2020/07/16,82700,-300,-0.36,83000,83100,82300,2312310,191183881500,60205795585500,728002365,51.37561571187497,54.867114040475
15,18,18,205,2020/07/20,82200,-700,-0.84,82800,83000,82100,2008624,165380599100,59841794403000,728002365,33.08274799753334,35.76829243973332
16,19,19,204,2020/07/21,84100,1900,2.31,83400,84700,83000,4181015,351360291700,61224998896500,728002365,26.16480718366667,26.883867005766664
17,20,20,203,2020/07/22,83200,-900,-1.07,84100,84200,82900,2876295,239611385215,60569796768000,728002365,31.49411731370001,33.57340742660001
18,21,21,202,2020/07/23,82400,-800,-0.96,84000,84000,82300,3591647,297728783200,59987394876000,728002365,25.2487601983,26.127698177590904
19,22,22,201,2020/07/24,83700,1300,1.58,82300,83700,82200,3667416,304393422600,60933797950500,728002365,24.066452706733333,25.740773693199998
20,23,23,200,2020/07/27,82800,-900,-1.08,83100,84000,82800,2784652,231629150440,60278595822000,728002365,18.641155817099992,18.0674004856
21,24,24,199,2020/07/28,83100,300,0.36,83900,83900,82700,4538720,378147743500,60496996531500,728002365,19.9803518092,19.989787247049996
22,25,25,198,2020/07/29,83200,100,0.12,82900,83800,82600,3719681,309547939100,60569796768000,728002365,24.16307820395,26.059936206449997
23,28,28,195,2020/08/03,81800,-1000,-1.21,82400,82600,81500,3483106,285292645200,59550593457000,728002365,31.210921328550015,34.884700429700004
24,29,29,194,2020/08/04,81600,-200,-0.24,81800,82500,81400,3005937,245898247600,59404992984000,728002365,28.43771980145,31.1789523621
25,30,30,193,2020/08/05,80700,-900,-1.1,81200,81300,80500,4537005,366305427151,58749790855500,728002365,32.2306735511,34.676642869000005
26,31,31,192,2020/08/06,81100,400,0.5,80700,81900,80700,3391939,275352872316,59040991801500,728002365,40.2655482139,42.59940013613331
27,32,32,191,2020/08/07,80600,-500,-0.62,81200,81300,80000,4946631,397344111700,58676990619000,728002365,28.0041920389,29.97143905835
28,33,33,190,2020/08/10,81400,800,0.99,80100,81900,79800,3277238,265033012100,59259392511000,728002365,21.19919311576,25.401642207420004
29,34,34,189,2020/08/11,81300,-100,-0.12,81700,82000,81000,3234013,263787032800,59186592274500,728002365,33.660320521300015,34.26724059914999
30,35,35,188,2020/08/12,81000,-300,-0.37,81100,81300,80200,3595828,289641970965,58968191565000,728002365,25.750168990299997,28.5894883034
31,36,36,187,2020/08/13,80700,-300,-0.37,81900,82000,80300,4049387,328483224600,58749790855500,728002365,23.538259697574993,25.765210897600003
32,37,37,186,2020/08/14,80200,-500,-0.62,80200,81100,80100,2589552,207896270700,58385789673000,728002365,37.28331888599998,43.82620794150001
33,38,38,185,2020/08/18,78100,-2100,-2.62,80000,80200,78000,4946279,391556333215,56856984706500,728002365,27.73619529761667,35.56551230448334
34,39,39,184,2020/08/19,75000,-3100,-3.97,77300,78000,75000,8028305,609790999800,54600177375000,728002365,24.8977470685,30.700007916774997
35,40,40,183,2020/08/20,71800,-3200,-4.27,74400,74400,71300,7260223,525176256700,52270569807000,728002365,25.65785873762,27.313007895159995
