date,close,diff,ratio,open,high,low,volume,sumPos,sumNeg
2020/06/24,86000,1900,2.26,84200,87400,84000,4079834,13.297153228180004,15.66900900622
2020/06/25,84300,-1700,-1.98,84300,85600,84000,3397112,34.523930575916665,36.89938196389999
2020/06/29,83600,-1000,-1.18,84000,85300,83500,2932433,27.71653473720001,29.5853861579
2020/06/30,85100,1500,1.79,86200,87300,85000,4983607,34.89002723115001,30.797497241925004
2020/07/01,85300,200,0.24,86800,87300,84900,2382552,27.7235061232,28.40103146633332
2020/07/02,84400,-900,-1.06,84800,85200,84000,3295340,20.95255501825,23.0179266104
2020/07/03,85400,1000,1.18,85000,85600,84500,2195897,29.100144598599996,31.034118212066662
2020/07/06,86000,600,0.7,86000,87000,85800,2561766,29.070473456025,32.732914143200006
2020/07/07,84800,-1200,-1.4,87300,87300,84600,3196352,19.9955662193,22.193952747274995
2020/07/08,83700,-1100,-1.3,83800,84900,83600,3523620,15.86850202465,15.777039607449996
2020/07/09,83000,-700,-0.84,84200,84600,83000,4002365,28.48069700324167,33.469283512825
2020/07/10,82800,-200,-0.24,83300,83500,82400,2201557,26.645082364775003,31.585580104375
2020/07/13,83000,200,0.24,83100,83500,82500,2080934,33.60042395183334,38.38851594343331
2020/07/15,83000,100,0.12,83100,83900,82900,3024429,29.735108251950003,30.980695601475
2020/07/16,82700,-300,-0.36,83000,83100,82300,2312310,51.37561571187497,54.867114040475
2020/07/20,82200,-700,-0.84,82800,83000,82100,2008624,33.08274799753334,35.76829243973332
2020/07/21,84100,1900,2.31,83400,84700,83000,4181015,26.16480718366667,26.883867005766664
2020/07/22,83200,-900,-1.07,84100,84200,82900,2876295,31.49411731370001,33.57340742660001
2020/07/23,82400,-800,-0.96,84000,84000,82300,3591647,25.2487601983,26.127698177590904
2020/07/24,83700,1300,1.58,82300,83700,82200,3667416,24.066452706733333,25.7407736932
2020/07/27,82800,-900,-1.08,83100,84000,82800,2784652,18.641155817099992,18.0674004856
2020/07/28,83100,300,0.36,83900,83900,82700,4538720,19.9803518092,19.98978724705
2020/07/29,83200,100,0.12,82900,83800,82600,3719681,24.16307820395,26.05993620645
2020/08/03,81800,-1000,-1.21,82400,82600,81500,3483106,31.21092132855001,34.884700429700004
2020/08/04,81600,-200,-0.24,81800,82500,81400,3005937,28.43771980145,31.1789523621
2020/08/05,80700,-900,-1.1,81200,81300,80500,4537005,32.2306735511,34.676642869000005
2020/08/06,81100,400,0.5,80700,81900,80700,3391939,40.2655482139,42.59940013613331
2020/08/07,80600,-500,-0.62,81200,81300,80000,4946631,28.0041920389,29.97143905835
2020/08/10,81400,800,0.99,80100,81900,79800,3277238,21.19919311576,25.401642207420004
2020/08/11,81300,-100,-0.12,81700,82000,81000,3234013,33.660320521300015,34.26724059914999
