date,close,diff,ratio,open,high,low,volume,sumPos,sumNeg
2021/06/09,26100,750,2.96,24800,27650,23650,49304967,17.849259792525,14.6117389666
2021/06/10,23400,-2700,-10.34,25500,26000,23050,26820159,22.452277412150007,17.962871942449997
2021/06/15,23600,50,0.21,23500,24200,23050,7193835,42.98197217175,34.90171381854999
2021/06/18,25250,1150,4.77,24350,25250,23550,9648276,10.805845431400003,8.045447441199999
2021/06/23,26000,-750,-2.8,26800,27200,25750,12694560,34.205900277999994,31.41690140430002
2021/06/24,24650,-1350,-5.19,26300,26450,24500,14268629,29.287790807299988,26.473264240100004
2021/06/25,24750,100,0.41,24500,25250,24100,8665468,35.32341592509997,23.1386913196
2021/06/30,23850,-350,-1.45,24150,24200,23500,4892112,17.291723269112502,15.901840923387498
2021/07/01,24850,1000,4.19,24100,25200,23650,11082685,15.239817628966668,11.309831831533335
2021/07/05,24950,200,0.81,24800,25450,24300,6993495,63.17973641080002,50.18811560560001
2021/07/07,25350,-700,-2.69,26050,26400,25200,8883352,25.95734148,20.2326699512
2021/07/13,25500,0,0.0,25500,26300,25450,7125834,37.97647236260001,35.17699391860002
2021/07/19,24800,-300,-1.2,24600,25250,24100,4477148,23.417925611575,17.16848629050625
2021/07/20,25100,300,1.21,24500,25450,24400,8034764,24.50248382903333,20.00964430336666
2021/07/21,24400,-700,-2.79,24250,25000,23600,23143319,35.0480909337,22.869716568299992
2021/07/27,22950,150,0.66,22900,23450,22700,5086433,16.69148737628125,13.541740837824994
2021/07/28,22550,-400,-1.74,22850,23100,22300,5029262,10.49707596682,11.62677565086
2021/07/29,22550,0,0.0,23000,23050,22400,3600769,30.6996684778,28.7899892452
2021/07/30,21750,-800,-3.55,22400,22500,21550,9395196,13.681281985475,10.040969124487496
2021/08/02,21800,50,0.23,21700,22150,21300,4528795,22.593583959488885,16.33490272092222
2021/08/10,21500,50,0.23,21450,21750,21050,4820501,20.09371289255,19.7717974573
2021/08/11,21350,-150,-0.7,21300,21850,21250,3164590,17.12897061892,11.03041970632
2021/08/12,21700,350,1.64,21450,22250,21400,7949013,22.7094763366,21.3161700382
2021/08/17,20650,-150,-0.72,21100,21200,20500,4675178,11.4636708603,7.688206368649999
2021/08/20,19500,0,0.0,19550,20100,19350,6913642,19.8887268257,18.2237533849
2021/09/01,21900,1000,4.78,20900,22750,20650,16710922,17.82208367984286,14.253254480599995
2021/09/06,21850,100,0.46,21850,22050,21500,3397053,14.609077841499998,8.1490522344
2021/09/14,21000,700,3.45,20400,21300,20400,3757880,25.3513747093,16.14176992509999
2021/09/15,21050,50,0.24,21050,21700,20950,4251447,21.759092220657145,14.30273639861428
2021/09/24,20550,-550,-2.61,21250,21300,20500,4238194,39.341856275299975,30.7020343384
2021/09/30,20550,100,0.49,20400,21100,20300,3692901,21.6877212183,15.059001686359997
2021/10/07,19000,850,4.68,18250,19100,18250,3825082,22.34305596335,15.945451020549994
2021/10/13,21750,2800,14.78,19250,22050,19050,21043820,21.29859043605,18.28273649615
2021/10/15,23450,1000,4.45,22650,24150,22500,25864817,12.216331943066669,10.175476104366666
2021/10/18,23100,-350,-1.49,23950,24150,22800,13269028,17.254733705600003,13.5330046477
2021/10/19,23000,-100,-0.43,23000,23550,22650,9022295,5.1484168315000005,4.7227961111
2021/10/21,23100,1300,5.96,22050,23350,21900,15021575,13.736677133522225,11.7367540344
2021/10/22,22600,-500,-2.16,23250,23500,22550,11669246,32.5432281084,35.0630507863
2021/10/25,25750,3150,13.94,23400,25900,23300,45115134,20.190808061888887,18.813501025244445
2021/10/29,24400,200,0.83,24500,25000,24100,9490424,10.61126376225,9.2540219019
2021/11/03,24600,-500,-1.99,25800,25900,24250,11955366,38.06665633530001,34.35607476389998
2021/11/04,26250,1650,6.71,25250,27550,25100,50024043,19.87747347688572,15.8187558994
